Wavenumber,300K,310K,320K,330K,340K,350K,360K,370K,380K,390K,400K,410K,420K,430K,440K,450K,460K,470K,480K,490K,500K,510K,520K,530K,540K,550K,560K,570K,580K,590K,600K,610K,620K,630K,640K,650K,660K,670K,680K,690K,700K
909.98,4057.35,6619.16,6885.72,7297.97,5830.31,5872.16,6453.33,6416.13,5642.79,6687.35,6907.42,6665.65,7053.1,7690.06,7669.92,8649.38,8041.86,6447.13,7409.55,7600.17,7057.75,7392.5,6285.95,6484.33,5455.26,5659.84,5808.62,5776.07,4354.91,3637.36,3600.16,3308.8,3017.44,3127.48,3057.74,2662.54,2867.11,2780.32,2546.31,4557.94,3879.13
908.3660000000001,4011.46,6712.1,6918.17,7277.64,5945.13,5844.42,6709.0,6530.82,5777.8,6744.64,6983.25,6664.07,7331.87,7717.67,7841.63,8678.32,8043.05,6456.44,7499.21,7731.62,7195.52,7610.76,6146.56,6459.54,5573.27,5683.28,5749.91,5660.04,4321.34,3647.34,3630.3,3283.23,3001.23,3094.2,3053.91,2726.98,2877.28,2869.53,2573.59,4519.67,3961.87
906.752,4139.08,6702.76,7076.09,7209.31,5929.79,6011.89,6639.25,6513.78,5750.09,6763.18,7055.95,6767.82,7258.88,7784.0,7832.03,8617.4,8163.52,6585.04,7529.96,7646.14,7145.79,7539.25,6348.03,6543.21,5536.33,5801.21,5900.35,5812.06,4490.71,3668.16,3708.44,3356.8,3065.58,3118.25,3125.99,2727.89,2946.3,2882.79,2655.08,4561.97,3946.99
905.138,4091.64,6879.28,7216.9,7376.41,6070.87,6193.21,6725.96,6484.37,5782.81,6794.1,7085.26,6629.94,7274.2,7937.04,7930.84,8712.93,8300.98,6526.18,7638.14,7814.69,7295.88,7687.7,6368.21,6569.54,5703.83,5789.0,5984.14,5951.62,4488.1,3630.13,3706.02,3493.85,3019.95,3235.21,3232.12,2764.41,2967.29,2892.95,2621.93,4598.06,4029.69
903.523,4147.97,6897.79,7219.84,7490.8,6047.76,6148.4,6820.38,6648.51,5897.57,6880.76,7080.5,6835.86,7258.55,7963.04,7998.65,8923.0,8289.74,6574.19,7659.57,7775.69,7261.65,7662.67,6410.07,6498.32,5640.55,5902.22,5855.77,5874.35,4510.27,3759.34,3728.37,3400.12,3071.88,3361.42,3155.49,2777.7,2951.11,2965.04,2677.06,4606.27,4168.09
901.908,4284.76,6934.88,7295.55,7691.83,6103.62,6267.7,6877.6,6671.72,5924.06,7046.33,7159.33,6866.77,7394.62,8115.97,7907.0,8894.6,8284.7,6705.78,7693.38,7934.86,7261.5,7656.23,6427.14,6729.0,5622.2,5990.62,6066.47,5955.01,4554.11,3882.29,3735.24,3407.07,3159.39,3182.61,3198.09,2859.09,2930.29,2968.99,2679.52,4643.89,4222.84
900.293,4130.55,7032.3,7355.75,7584.8,6136.24,6195.05,6937.9,6629.93,5955.17,6928.61,7084.92,6858.97,7436.23,7886.58,8011.93,8750.14,8179.08,6639.21,7679.2,7840.15,7205.63,7618.84,6309.57,6677.9,5673.51,5815.89,5967.55,5789.58,4478.76,3735.91,3739.01,3395.44,3146.27,3301.03,3191.16,2878.54,2979.13,2929.61,2661.88,4724.83,4197.1
898.677,4304.43,7047.69,7432.95,7709.91,6340.6,6182.78,7044.59,6886.77,6018.77,7058.52,7290.6,6900.7,7513.41,8194.19,8166.34,8910.57,8551.61,6710.39,7873.91,8025.54,7409.74,7929.61,6583.51,6561.85,5669.09,5961.52,6133.27,5946.05,4652.56,3846.44,3781.46,3544.73,3270.87,3372.99,3399.29,2901.08,3058.9,2942.85,2823.72,4810.37,4166.72
897.061,4332.82,7047.6,7434.32,7653.98,6221.56,6218.47,6981.08,6685.63,6096.27,7072.35,7189.91,6970.25,7412.66,8056.17,8183.01,9013.69,8401.12,6682.53,7799.38,7910.76,7290.46,7847.34,6399.45,6736.68,5831.75,5919.92,5969.42,6071.52,4719.54,3788.32,3833.18,3601.14,3237.63,3302.6,3280.94,2918.97,3104.59,2945.27,2861.73,4782.96,4236.91
895.445,4488.02,7435.69,7530.03,7885.73,6442.82,6489.22,7062.98,6888.22,6116.51,7084.63,7390.85,6943.9,7437.24,8161.01,8144.0,9047.17,8508.98,6827.91,7912.02,8034.2,7500.65,7876.45,6600.57,6854.2,5934.02,6141.25,6045.37,6088.67,4786.5,3949.83,3959.11,3632.79,3193.58,3441.02,3377.61,2947.68,3086.86,3003.35,2800.76,4888.57,4381.31
